Country,CurrentWeekCases,PreviousWeekCases,WeeklyCaseChange,CurrentWeekCasesPerMill,CurrentWeekDeaths,PreviousWeekDeaths,WeeklyDeathChange,CurrentWeekDeathsPerMill,Population
Chile,95205,117381,-19,4908,619,830,-25,32,19396733
Uruguay,11039,10195,8,3159,44,50,-12,13,3494313
Brazil,266887,317327,-16,1241,2164,3005,-28,10,215142671
French Guiana,251,293,-14,805,0,1,-100,0,311906
Argentina,36330,35868,1,791,361,414,-13,8,45904781
Suriname,176,286,-38,295,3,3,0,5,595618
Bolivia,2426,2547,-5,203,9,18,-50,0.8,11945187
Paraguay,1200,2149,-44,165,48,69,-30,7,7282302
Peru,5067,11222,-55,150,332,487,-32,10,33756916
Colombia,4256,5717,-26,82,151,246,-39,3,51810017
Guyana,56,87,-36,71,2,1,100,3,793041
Venezuela,1255,1725,-27,44,10,10,0,0.4,28298183
Ecuador,516,8483,-94,29,1,39,-97,0.1,18100947
Falkland Islands,0,3,-100,0,0,0,0,0,3653
